,Filing ID,Company ID,Company,County,Insurance Type,Insurance Type Code,Number of Claims,Closed Claims (paid),Closed Claims (not paid),Number Claims Open,Paid Loss,Number Claims with AOB,NAIC Number,Claims,Proportion of Claims,Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints,County premium,cost_per_claim,Loss ratio,Frequency
202,1011513,100502,AIG ASSURANCE COMPANY,OKEECHOBEE,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
203,1011513,100502,AIG ASSURANCE COMPANY,BROWARD,Homeowners,2,75.0,25.0,14.0,36.0,805262.01,0.0,40258,911.0,0.08232711306256861,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,32210.4804,,0.3333333333333333
204,1011513,100502,AIG ASSURANCE COMPANY,LEE,Homeowners,2,24.0,5.0,6.0,13.0,224582.0,0.0,40258,911.0,0.026344676180021953,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,44916.4,,0.20833333333333334
205,1011513,100502,AIG ASSURANCE COMPANY,FRANKLIN,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
206,1011513,100502,AIG ASSURANCE COMPANY,CHARLOTTE,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
207,1011513,100502,AIG ASSURANCE COMPANY,BAKER,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
208,1011513,100502,AIG ASSURANCE COMPANY,CLAY,Homeowners,2,1.0,0.0,0.0,1.0,0.0,0.0,40258,911.0,0.0010976948408342481,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
209,1011513,100502,AIG ASSURANCE COMPANY,OSCEOLA,Homeowners,2,2.0,1.0,1.0,0.0,39363.92,0.0,40258,911.0,0.0021953896816684962,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,39363.92,,0.5
210,1011513,100502,AIG ASSURANCE COMPANY,DIXIE,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
211,1011513,100502,AIG ASSURANCE COMPANY,GULF,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
