,Unnamed: 0,Filing ID,Company ID,Company,County,Insurance Type,Insurance Type Code,Number of Claims,Closed Claims (paid),Closed Claims (not paid),Number Claims Open,Paid Loss,Number Claims with AOB,NAIC Number,Claims,Proportion of Claims,Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints,County premium,cost_per_claim,Loss ratio,Frequency,MajorHurricaneHits,claims_per_hurricane,Number of hurricanes
0,202,1011513,100502,AIG ASSURANCE COMPANY,okeechobee,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,3.0
1,203,1011513,100502,AIG ASSURANCE COMPANY,broward,Homeowners,2,75.0,25.0,14.0,36.0,805262.01,0.0,40258,911.0,0.08232711306256861,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,32210.4804,,0.3333333333333333,1.0,75.0,1.0
2,204,1011513,100502,AIG ASSURANCE COMPANY,lee,Homeowners,2,24.0,5.0,6.0,13.0,224582.0,0.0,40258,911.0,0.026344676180021957,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,44916.4,,0.20833333333333331,3.0,8.0,3.0
3,205,1011513,100502,AIG ASSURANCE COMPANY,franklin,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4,206,1011513,100502,AIG ASSURANCE COMPANY,charlotte,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,3.0
5,207,1011513,100502,AIG ASSURANCE COMPANY,baker,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,208,1011513,100502,AIG ASSURANCE COMPANY,clay,Homeowners,2,1.0,0.0,0.0,1.0,0.0,0.0,40258,911.0,0.0010976948408342481,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7,209,1011513,100502,AIG ASSURANCE COMPANY,osceola,Homeowners,2,2.0,1.0,1.0,0.0,39363.92,0.0,40258,911.0,0.0021953896816684962,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,39363.92,,0.5,,,0.0
8,210,1011513,100502,AIG ASSURANCE COMPANY,dixie,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
9,211,1011513,100502,AIG ASSURANCE COMPANY,gulf,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,212,1011513,100502,AIG ASSURANCE COMPANY,volusia,Homeowners,2,3.0,2.0,1.0,0.0,14861.94,0.0,40258,911.0,0.003293084522502744,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,7430.97,,0.6666666666666666,2.0,1.5,2.0
11,213,1011513,100502,AIG ASSURANCE COMPANY,highlands,Homeowners,2,2.0,0.0,0.0,2.0,0.0,0.0,40258,911.0,0.0021953896816684962,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,0.5,4.0
12,214,1011513,100502,AIG ASSURANCE COMPANY,st johns,Homeowners,2,3.0,0.0,3.0,0.0,0.0,0.0,40258,911.0,0.003293084522502744,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
13,215,1011513,100502,AIG ASSURANCE COMPANY,marion,Homeowners,2,4.0,1.0,0.0,3.0,8590.48,0.0,40258,911.0,0.004390779363336993,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,8590.48,,0.25,1.0,4.0,1.0
14,216,1011513,100502,AIG ASSURANCE COMPANY,indian river,Homeowners,2,4.0,1.0,2.0,1.0,211.0,0.0,40258,911.0,0.004390779363336993,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,211.0,,0.25,2.0,2.0,2.0
15,217,1011513,100502,AIG ASSURANCE COMPANY,bradford,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,218,1011513,100502,AIG ASSURANCE COMPANY,martin,Homeowners,2,6.0,2.0,2.0,2.0,4775.82,0.0,40258,911.0,0.006586169045005488,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,2387.91,,0.3333333333333333,3.0,2.0,3.0
17,219,1011513,100502,AIG ASSURANCE COMPANY,wakulla,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,220,1011513,100502,AIG ASSURANCE COMPANY,levy,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
19,221,1011513,100502,AIG ASSURANCE COMPANY,union,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20,222,1011513,100502,AIG ASSURANCE COMPANY,st lucie,Homeowners,2,1.0,0.0,1.0,0.0,0.0,0.0,40258,911.0,0.0010976948408342481,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
21,223,1011513,100502,AIG ASSURANCE COMPANY,hardee,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
22,224,1011513,100502,AIG ASSURANCE COMPANY,sumter,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
23,225,1011513,100502,AIG ASSURANCE COMPANY,alachua,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
24,226,1011513,100502,AIG ASSURANCE COMPANY,nassau,Homeowners,2,1.0,0.0,0.0,1.0,0.0,0.0,40258,911.0,0.0010976948408342481,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.5,2.0
25,227,1011513,100502,AIG ASSURANCE COMPANY,escambia,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,2.0
26,228,1011513,100502,AIG ASSURANCE COMPANY,columbia,Homeowners,2,0.0,0.0,0.0,0.0,0.0,0.0,40258,911.0,0.0,AIG ASSUR CO,40258.0,Homeowner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
